,level_0,index,Unnamed: 0.1,Unnamed: 0,osmid,lat,long,CLARA_ID,BG_ID,population,CLARA_count,tt_min_ems,tt_second_ems,under_4_ems,under_10_ems,min_ems_id,min_ems_lat,min_ems_long,min_ems_name,second_ems_id,second_ems_lat,second_ems_long,second_ems_name,tt_min_fire,tt_second_fire,under_9_fire,under_14_fire,min_fire_id,min_fire_lat,min_fire_long,min_fire_name,second_fire_id,second_fire_lat,second_fire_long,second_fire_name,Community,tt_min_daycare,tt_second_daycare,under_15_daycare,min_daycare_id,min_daycare_lat,min_daycare_long,min_daycare_name,second_daycare_id,second_daycare_lat,second_daycare_long,second_daycare_name,tt_min_school,tt_second_school,under_15_school,min_school_id,min_school_lat,min_school_long,min_school_name,second_school_id,second_school_lat,second_school_long,second_school_name,tt_min_high_school,tt_second_high_school,under_15_high_school,min_high_school_id,min_high_school_lat,min_high_school_long,min_high_school_name,second_high_school_id,second_high_school_lat,second_high_school_long,second_high_school_name,tt_min_hospital,tt_second_hospital,under_30_hospital,min_hospital_id,min_hospital_lat,min_hospital_long,min_hospital_name,second_hospital_id,second_hospital_lat,second_hospital_long,second_hospital_name,tt_min_dialysis,tt_second_dialysis,under_30_dialysis,min_dialysis_id,min_dialysis_lat,min_dialysis_long,min_dialysis_name,second_dialysis_id,second_dialysis_lat,second_dialysis_long,second_dialysis_name,tt_min_trauma,tt_second_trauma,under_60_trauma,min_trauma_id,min_trauma_lat,min_trauma_long,min_trauma_name,second_trauma_id,second_trauma_lat,second_trauma_long,second_trauma_name,Shape_Area,tt_min_grocery,tt_second_grocery,under_15_grocery,min_grocery_id,min_grocery_lat,min_grocery_long,min_grocery_name,second_grocery_id,second_grocery_lat,second_grocery_long,second_grocery_name
0,0,0,0,0,123849216,30.449518,-90.057662,25792,{'221030406043'},48.0,1.0,162.4,289.1,1,5,15698,30.45167966,-90.04109797,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 12 STATION 125,15856,30.42833947,-90.04035903,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 3,94.7,289.1,7,7,43131,30.459651120766985,-90.05207132,Saint Tammany Parish Fire District 12 Station 125,32790,30.428339004033106,-90.04036713,Saint Tammany Parish Fire District 4 Station 43,Mandeville,267.5,308.19999999999993,5,51431,30.45277,-90.07615,LITTLE FOOTPRINTS SCHOOLHOUSE LLC,51440,30.478327,-90.028856,ABITA SPRINGS CHILDREN'S ACADEMIE,272.3,332.19999999999993,5,28870,30.48008363,-90.03866792,ABITA SPRINGS MIDDLE SCHOOL,42312,30.47651499,-90.02850546,ABITA SPRINGS ELEMENTARY SCHOOL,480.2,592.9999999999999,3,14097,30.40702426,-90.03740013,FONTAINEBLEAU HIGH SCHOOL,38869,30.49406754,-90.13243711,COVINGTON HIGH SCHOOL,293.2,415.1,5,2857,30.44740542,-90.07312565,PAM SPECIALTY HOSPITAL OF COVINGTON,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,307.4,550.5999999999998,5,6951,30.4827,-90.0422,FKC - ABITA,7000,30.4966,-90.1151,DaVita Covington Trace Dialysis,415.1,514.7999999999998,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,152.2,232.3,5,2684,30.460311,-90.04113,Ssa Quick Stop,3042,30.443292,-90.0787905,Walmart Bakery
1,1,1,1,1,123849273,30.3618337,-90.0511431,73833,{'221030412112'},20.0,1.0,110.5,350.6,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,110.5,307.3,4,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,29016,30.338703155787,-90.00453186,Saint Tammany Parish Fire District 4 Station 44,Mandeville,139.7,162.79999999999998,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,51412,30.36119,-90.04089,TINY TOES AND TOTS DAYCARE AND PRESCHOOL,127.1,186.8,5,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,281.3,333.3,4,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,105110,30.34636795,-90.01800493,STPPS VIRTUAL SCHOOL,272.6,432.0,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,711.0000000000003,759.0000000000001,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,432.0,894.2,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,95.3,113.1,5,611,30.362877,-90.0615195,Circle K,1786,30.365748,-90.064836,Mandeville Bake Shop
2,2,2,2,2,123849275,30.3628473,-90.0531476,73111,{'221030412112'},9.0,1.0,88.0,328.1,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,88.0,284.8,4,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,29016,30.338703155787,-90.00453186,Saint Tammany Parish Fire District 4 Station 44,Mandeville,116.59999999999997,139.7,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,51412,30.36119,-90.04089,TINY TOES AND TOTS DAYCARE AND PRESCHOOL,104.0,163.69999999999996,5,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,258.20000000000005,310.20000000000005,4,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,105110,30.34636795,-90.01800493,STPPS VIRTUAL SCHOOL,249.50000000000003,408.8999999999999,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,687.9000000000001,735.9,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,408.8999999999999,871.1,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,72.19999999999999,89.99999999999999,5,611,30.362877,-90.0615195,Circle K,1786,30.365748,-90.064836,Mandeville Bake Shop
3,3,3,3,3,123849276,30.3636477,-90.0547742,74164,{'221030412112'},13.0,1.0,79.0,319.1,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,79.0,293.40000000000003,4,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,29016,30.338703155787,-90.00453186,Saint Tammany Parish Fire District 4 Station 44,Mandeville,107.5,145.39999999999998,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50819,30.377201,-90.046671,KIDZ KAROUSEL ACADEMY EAST,94.9,154.59999999999997,5,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,266.70000000000005,318.70000000000005,4,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,105110,30.34636795,-90.01800493,STPPS VIRTUAL SCHOOL,258.00000000000006,399.8,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,678.8000000000002,726.8000000000001,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,399.8,862.0000000000001,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,63.1,80.9,5,611,30.362877,-90.0615195,Circle K,1786,30.365748,-90.064836,Mandeville Bake Shop
4,4,4,4,4,123849281,30.3653114,-90.0580038,73732,{'221030412112'},19.0,1.0,53.49999999999999,293.6,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,53.49999999999999,293.6,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,81.49999999999999,107.89999999999998,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50819,30.377201,-90.046671,KIDZ KAROUSEL ACADEMY EAST,115.3,128.59999999999997,5,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,287.1,309.70000000000005,4,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,14097,30.40702426,-90.03740013,FONTAINEBLEAU HIGH SCHOOL,278.40000000000003,373.8,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,652.8000000000003,700.8000000000001,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,373.8,836.0000000000001,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,37.1,54.89999999999999,5,611,30.362877,-90.0615195,Circle K,2472,30.365748,-90.064836,Saia's Super Meat Market
5,5,5,5,5,123849282,30.3661943,-90.0597214,71966,{'221030412092'},12.0,1.0,34.099999999999994,274.2,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,34.099999999999994,274.2,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,61.6,87.99999999999999,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50819,30.377201,-90.046671,KIDZ KAROUSEL ACADEMY EAST,104.2,108.7,5,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,276.00000000000006,289.80000000000007,5,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,14097,30.40702426,-90.03740013,FONTAINEBLEAU HIGH SCHOOL,267.30000000000007,353.9,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,632.9000000000003,680.9,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,353.9,816.1000000000001,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,17.2,35.0,5,611,30.362877,-90.0615195,Circle K,2472,30.365748,-90.064836,Saia's Super Meat Market
6,6,6,6,6,123849284,30.3670036,-90.0613438,82956,{'221030412092'},11.0,1.0,52.2,283.2,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,52.2,283.2,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,71.6,106.7,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50819,30.377201,-90.046671,KIDZ KAROUSEL ACADEMY EAST,118.7,122.9,5,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,294.70000000000005,308.50000000000006,4,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,14097,30.40702426,-90.03740013,FONTAINEBLEAU HIGH SCHOOL,286.00000000000006,363.9,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,642.9000000000002,690.9,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,363.9,826.1000000000001,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,35.9,45.0,5,611,30.362877,-90.0615195,Circle K,2472,30.365748,-90.064836,Saia's Super Meat Market
7,7,7,7,7,123849293,30.3678013,-90.0629305,83373,{'221030412092'},24.0,1.0,69.7,274.20000000000005,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,69.7,274.20000000000005,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,62.6,105.2,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50841,30.362154,-90.0725781,PLAY AND LEARN NORTHSHORE ACADEMY,109.7,140.8,5,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,42313,30.35598019,-90.05858763,WOODLAKE ELEMENTARY SCHOOL,312.6,326.7,5,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,14097,30.40702426,-90.03740013,FONTAINEBLEAU HIGH SCHOOL,303.90000000000003,354.9,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,633.9000000000002,681.9,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,354.9,817.1000000000001,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,36.0,36.0,5,2472,30.365748,-90.064836,Saia's Super Meat Market,1786,30.365748,-90.064836,Mandeville Bake Shop
8,8,8,8,8,123849297,30.3686213,-90.064547,83030,{'221030412092'},18.0,1.0,78.6,265.3,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,78.6,265.3,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,53.7,96.29999999999998,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50841,30.362154,-90.0725781,PLAY AND LEARN NORTHSHORE ACADEMY,100.8,146.59999999999997,5,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,36594,30.36723833,-90.08063979,MANDEVILLE ELEMENTARY SCHOOL,321.50000000000006,330.3999999999999,5,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,70504,30.38132386,-90.10168363,MANDEVILLE HIGH SCHOOL,312.80000000000007,345.99999999999994,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,625.0000000000002,673.0,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,345.99999999999994,808.2,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,40.6,44.9,5,2256,30.366297,-90.0654795,Racetrac,2472,30.365748,-90.064836,Saia's Super Meat Market
9,9,9,9,9,123849298,30.3691906,-90.0656699,83345,{'221030412092'},26.0,2.0,91.2,277.90000000000003,1,5,15221,30.36095643,-90.06293451,SAINT TAMMANY FIRE DISTRICT STATION 4,15859,30.3961164,-90.09431067,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 4 STATION 2,91.2,277.90000000000003,5,7,26107,30.361054122178256,-90.0629556,Saint Tammany Parish Fire District 4 Station 41,25781,30.396089303643738,-90.09431907,Saint Tammany Parish Fire District 4 Station 42,Mandeville,66.7,109.3,5,51411,30.3669239,-90.0696574,TENDER YEARS CHILD DEVELOPMENT CENTER,50841,30.362154,-90.0725781,PLAY AND LEARN NORTHSHORE ACADEMY,113.8,159.59999999999997,5,32831,30.36543564,-90.07463679,MANDEVILLE JUNIOR HIGH SCHOOL,36594,30.36723833,-90.08063979,MANDEVILLE ELEMENTARY SCHOOL,334.50000000000006,343.4,5,79733,30.34739933,-90.01817105,METHODIST HOME FOR CHILDREN OF GREATER NEW ORLEANS,70504,30.38132386,-90.10168363,MANDEVILLE HIGH SCHOOL,325.80000000000007,359.0,5,2824,30.34735215,-90.0182325,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,638.0000000000002,686.0000000000001,5,6807,30.4099,-90.1599,FKC - TCHEFUNCTE RIVER,6620,30.4564,-90.1337,DAVITA - DIALYSIS SYSTEMS OF COVINGTON,359.0,821.2000000000002,2,7187,30.41112373,-90.08067651,LAKEVIEW REGIONAL MEDICAL CENTER,2906,30.46866389,-90.11292956,ST. TAMMANY PARISH HOSPITAL,,53.6,57.9,5,2256,30.366297,-90.0654795,Racetrac,2472,30.365748,-90.064836,Saia's Super Meat Market
